timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/02/13 13:45:42.702, 473 MiB, 97887 MiB, 0 %
2026/02/13 13:45:43.709, 473 MiB, 97887 MiB, 0 %
2026/02/13 13:45:44.710, 473 MiB, 97887 MiB, 0 %
2026/02/13 13:45:45.710, 9034 MiB, 97887 MiB, 53 %
2026/02/13 13:45:46.710, 22740 MiB, 97887 MiB, 53 %
2026/02/13 13:45:47.710, 2300 MiB, 97887 MiB, 47 %
2026/02/13 13:45:48.711, 11992 MiB, 97887 MiB, 31 %
2026/02/13 13:45:49.711, 23230 MiB, 97887 MiB, 32 %
2026/02/13 13:45:50.711, 56604 MiB, 97887 MiB, 98 %
2026/02/13 13:45:51.711, 56604 MiB, 97887 MiB, 98 %
2026/02/13 13:45:52.711, 56604 MiB, 97887 MiB, 98 %
2026/02/13 13:45:53.711, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:45:54.712, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:45:55.712, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:45:56.712, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:45:57.712, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:45:58.712, 8552 MiB, 97887 MiB, 88 %
2026/02/13 13:45:59.712, 8552 MiB, 97887 MiB, 89 %
2026/02/13 13:46:00.712, 12400 MiB, 97887 MiB, 91 %
2026/02/13 13:46:01.713, 12400 MiB, 97887 MiB, 9 %
2026/02/13 13:46:02.713, 12400 MiB, 97887 MiB, 0 %
2026/02/13 13:46:03.713, 473 MiB, 97887 MiB, 0 %
2026/02/13 13:46:04.713, 473 MiB, 97887 MiB, 0 %
2026/02/13 13:46:05.714, 9354 MiB, 97887 MiB, 50 %
2026/02/13 13:46:06.714, 23044 MiB, 97887 MiB, 53 %
2026/02/13 13:46:07.714, 2516 MiB, 97887 MiB, 43 %
2026/02/13 13:46:08.714, 12260 MiB, 97887 MiB, 31 %
2026/02/13 13:46:09.715, 23526 MiB, 97887 MiB, 32 %
2026/02/13 13:46:10.715, 56604 MiB, 97887 MiB, 98 %
2026/02/13 13:46:11.715, 56604 MiB, 97887 MiB, 98 %
2026/02/13 13:46:12.715, 56604 MiB, 97887 MiB, 98 %
2026/02/13 13:46:13.715, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:14.715, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:15.715, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:16.716, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:17.716, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:18.716, 8552 MiB, 97887 MiB, 81 %
2026/02/13 13:46:19.716, 8552 MiB, 97887 MiB, 80 %
2026/02/13 13:46:20.716, 12400 MiB, 97887 MiB, 83 %
2026/02/13 13:46:21.716, 12400 MiB, 97887 MiB, 7 %
2026/02/13 13:46:22.717, 12400 MiB, 97887 MiB, 0 %
2026/02/13 13:46:23.717, 473 MiB, 97887 MiB, 0 %
2026/02/13 13:46:24.717, 473 MiB, 97887 MiB, 0 %
2026/02/13 13:46:25.717, 8692 MiB, 97887 MiB, 53 %
2026/02/13 13:46:26.717, 22534 MiB, 97887 MiB, 53 %
2026/02/13 13:46:27.718, 1868 MiB, 97887 MiB, 50 %
2026/02/13 13:46:28.718, 11656 MiB, 97887 MiB, 31 %
2026/02/13 13:46:29.718, 22946 MiB, 97887 MiB, 33 %
2026/02/13 13:46:30.718, 56604 MiB, 97887 MiB, 98 %
2026/02/13 13:46:31.719, 56604 MiB, 97887 MiB, 98 %
2026/02/13 13:46:32.719, 56604 MiB, 97887 MiB, 98 %
2026/02/13 13:46:33.719, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:34.719, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:35.719, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:36.719, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:37.719, 43114 MiB, 97887 MiB, 100 %
2026/02/13 13:46:38.720, 8552 MiB, 97887 MiB, 94 %
2026/02/13 13:46:39.720, 8552 MiB, 97887 MiB, 92 %
2026/02/13 13:46:40.720, 12400 MiB, 97887 MiB, 86 %
2026/02/13 13:46:41.720, 12400 MiB, 97887 MiB, 5 %
2026/02/13 13:46:42.720, 12400 MiB, 97887 MiB, 0 %
